关系 ID,源节点 ID,目标节点 ID,关系类型,通用关系说明（来自张小熊文档逻辑）,个性化扩展说明（机构自主填写）,是否个性化（是 / 否）,备注（必填 / 可选）
R-1,岗位 - 1（医助）,知识点 - 1（5+7 诊疗体系）,岗位 - 必备知识点,医助需掌握该核心诊疗逻辑，支撑面诊配合、方案讲解和疗程成交，对接面诊成单率指标,（例：机构填 “需额外掌握 XX 专利技术适配逻辑”）,否,必填
R-2,岗位 - 1（医助）,胜任力 - 1（客户管理能力）,岗位 - 对应胜任力维度,客户管理是医助核心职责，需通过治疗记录、回访、邀约实现新客转化和 A 客续约,（例：机构填 “需额外掌握社群运营能力”）,否,必填
R-3,岗位 - 2（护士）,知识点 - 5（标准化配台操作）,岗位 - 必备知识点,配台是护士核心工作，需按诊疗体系和靶向要求标准化执行，对接治疗量指标,（例：机构填 “需额外掌握光电设备配台流程”）,否,必填
R-4,职级 - 1（新手）,知识点 - 1（5+7 诊疗体系）,职级 - 知识点 - 掌握要求,新手需达到 “认知级”：懂 5 大靶向基础分类，能对接岗位基础工作（如医助配合面诊、护士基础配台）,（例：机构填 “需记忆 XX 技术产品适配靶向”）,否,必填
R-5,职级 - 2（进阶）,知识点 - 1（5+7 诊疗体系）,职级 - 知识点 - 掌握要求,进阶需达到 “应用级”：会联合靶向应用，能落地疗程交付（如医助方案讲解、护士靶向护理）,（例：机构填 “需独立完成双靶向案例配台 / 讲解”）,否,必填
R-6,知识点 - 1（5+7 诊疗体系）,院务模块 - 2（诊疗体系）,知识点 - 归属院务模块,5+7 诊疗体系是诊疗体系模块的核心内容，支撑医疗效果交付,（例：机构填 “归属专科诊疗子模块”）,否,必填
R-7,知识点 - 1（5+7 诊疗体系）,考核指标 - 1（面诊成单率）,知识点 - 关联考核指标,掌握诊疗体系能提升医助面诊成单率，确保方案匹配客户需求,（例：机构填 “同时关联新客成单率指标”）,否,必填
R-8,知识点 - 1（5+7 诊疗体系）,课程 - 1（5+7 诊疗体系 - 医助新手应用）,知识点 - 对应课程,新手医助通过该课程掌握诊疗体系基础认知,（例：机构填 “新增 XX 技术产品适配课程”）,否,必填
R-9,课程 - 1（5+7 诊疗体系 - 医助新手应用）,岗位 - 1（医助）,课程 - 适配岗位,课程专为医助设计，聚焦面诊配合和方案讲解能力,（例：机构填 “兼网咨岗位适配”）,否,必填
R-10,课程 - 1（5+7 诊疗体系 - 医助新手应用）,职级 - 1（新手）,课程 - 适配职级,课程难度适配新手认知级要求，避免超纲内容,（例：机构填 “延长学习时长至 30 分钟”）,否,必填
R-11,岗位 - 1（医助）,知识点 - 30（机构自定义知识点）,岗位 - 必备知识点,（机构自主填写关系说明，如 “医助需掌握门店会员体系运营”）,（机构自主填写扩展要求，如 “需独立完成会员等级判定”）,是,可选
R-12,知识点 - 30（机构自定义知识点）,课程 - 20（机构自定义课程）,知识点 - 对应课程,（机构自主填写关系说明，如 “会员体系运营知识点对应专属课程”）,（机构自主填写扩展要求，如 “课程需含实操案例”）,是,可选